Notes:,Based on https://wcrp-cmip.github.io/CMIP6_CVs/docs/CMIP6_experiment_id.html,
,2 experiments were not listed there: hist-o3 and piclim-2xco2 => no value in activitiy,
,"some erroneous entries exist at the bottom of the table (marked as 'weirdness' in the Notes column): giss-e2-1-g, noresm2-lm, be, ave => no value in activity",
,,
experiment_name,Activity,Notes
historical,CMIP,historical
ssp585,ScenarioMIP,
ssp245,ScenarioMIP,
picontrol,CMIP,Deck
ssp126,ScenarioMIP,
ssp370,"ScenarioMIP, AerChemMIP",
highressst-present,HighResMIP,
amip,CMIP,Deck
abrupt-4xco2,CMIP,Deck
hist-1950,HighResMIP,
1pctco2,CMIP,Deck
dcppa-hindcast,DCPP,
highressst-future,HighResMIP,
highres-future,HighResMIP,
control-1950,HighResMIP,
hist-nat,DAMIP,
ssp119,ScenarioMIP,
hist-ghg,DAMIP,
hist-aer,DAMIP,
omip2,OMIP,
ssp534-over,ScenarioMIP,
ssp460,ScenarioMIP,
esm-picontrol,CMIP,"Deck, emission-driven"
midholocene,PMIP,
ssp434,ScenarioMIP,
omip1,OMIP,
esm-hist,CMIP,"Historical, emission-driven"
lig127k,PMIP,
hist-nolu,LUMIP,
1pctco2-bgc,ISMIP6,
midpliocene-eoi400,PMIP,
1pctco2-cdr,ISMIP6,
hist-piaer,AerChemMIP,
pdsst-pdsic,PAMIP,
lgm,PMIP,
1pctco2-rad,C4MIP,
hist-pintcf,AerChemMIP,
pdsst-futarcsic,PAMIP,
ssp370-lowntcf,AerChemMIP,
hist-strato3,DAMIP,
dcppc-amv-pos,DCPP,
hist-bgc,C4MIP,
esm-ssp585,C4MIP,Emission-driven
deforest-globe,LUMIP,
dcppc-amv-neg,DCPP,
hist-1950hc,AerChemMIP,
past1000,PMIP,
amip-hist,GMMIP,
past2k,PMIP,
ssp245-cov-strgreen,DAMIP,
histsst,AerChemMIP,
amip-p4k,CFMIP,
ssp245-ghg,DAMIP,
ssp245-cov-modgreen,DAMIP,
hist-sol,DAMIP,
g6sulfur,GeoMIP,
hist-volc,DAMIP,
amip-lfmip-pdlc,LS3MIP,
pdsst-piarcsic,PAMIP,
abrupt-2xco2,CFMIP,
ssp370-ssp126lu,LUMIP,
ssp245-nat,DAMIP,
faf-all,FAFMIP,
ssp245-cov-fossil,DAMIP,
g6solar,GeoMIP,
futsst-pdsic,PAMIP,
ssp126-ssp370lu,LUMIP,
dcppc-atl-control,DCPP,
esm-1pct-brch-1000pgc,"C4MIP, CDRMIP",
faf-passiveheat,FAFMIP,
faf-water,FAFMIP,
histsst-pintcf,AerChemMIP,
dcppc-atl-pacemaker,DCPP,
land-hist,"LS3MIP, LUMIP",land only
dcppc-amv-extrop-pos,DCPP,
faf-heat,FAFMIP,
faf-stress,FAFMIP,
piclim-control,"RFMIP, AerChemMIP",
amip-lfmip-rmlc,LS3MIP,
amip-4xco2,CFMIP,
dcppc-amv-extrop-neg,DCPP,
dcppc-pac-pacemaker,DCPP,
g1,GeoMIP,
pdsst-futbkseassic,PAMIP,
abrupt-0p5xco2,CFMIP,
ssp245-aer,DAMIP,
pisst-pdsic,PAMIP,
ssp585-bgc,C4MIP,
hist-co2,DAMIP,
ssp245-covid,DAMIP,
dcppc-amv-trop-neg,DCPP,
dcppc-pac-control,DCPP,
pdsst-futantsic,PAMIP,
piclim-histall,RFMIP,
ssp370sst,AerChemMIP,
dcppc-ipv-pos,DCPP,
histsst-pich4,AerChemMIP,
amip-future4k,CFMIP,
dcppc-amv-trop-pos,DCPP,
dcppc-ipv-neg,DCPP,
dcppa-assim,DCPP,
pisst-pisic,PAMIP,
piclim-aer,"RFMIP, AerChemMIP",
faf-heat-na50pct,FAFMIP,
amip-piforcing,CFMIP,
ssp370sst-lowntcf,AerChemMIP,
abrupt-solp4p,CFMIP,
histsst-piaer,AerChemMIP,
spinup-1950,HighResMIP,
piclim-histaer,RFMIP,
piclim-2xdust,AerChemMIP,
ssp370-lowntcfch4,AerChemMIP,
ssp370pdsst,AerChemMIP,
abrupt-solm4p,CFMIP,
dcppb-forecast,DCPP,
pdsst-futokhotsksic,PAMIP,
omip1-spunup,OMIP,
dcppc-ipv-nextrop-neg,DCPP,
ssp534-over-bgc,C4MIP,
amip-m4k,CFMIP,
ssp245-strato3,DAMIP,
esm-ssp585-ssp126lu,LUMIP,
1pctco2ndep,C4MIP,
hist-resipo,GMMIP,
ssp370sst-lowntcfch4,AerChemMIP,
dcppc-ipv-nextrop-pos,DCPP,
piclim-bc,AerChemMIP,
piclim-ch4,AerChemMIP,
piclim-histghg,RFMIP,
piclim-ntcf,AerChemMIP,
piclim-hc,AerChemMIP,
piclim-so2,AerChemMIP,
pa-futarcsic,PAMIP,
histsst-1950hc,AerChemMIP,
1pctco2ndep-bgc,C4MIP,
land-hist-cruncep,LS3MIP,land only
hist-resamo,GMMIP,
pa-pdsic,PAMIP,
piclim-4xco2,RFMIP,
amip-lwoff,CFMIP,
ssp370sst-ssp126lu,AerChemMIP,
pa-pdsic-ext,PAMIP,
esm-1pct-brch-2000pgc,"C4MIP, CDRMIP",
histsst-pin2o,AerChemMIP,
piclim-ghg,RFMIP,
piclim-histnat,RFMIP,
pa-futarcsic-ext,PAMIP,
esm-1pct-brch-750pgc,"C4MIP, CDRMIP",
land-hist-wfdei,LS3MIP,land only
hist-totalo3,DAMIP,
piclim-anthro,RFMIP,
land-nolu,LUMIP,land only
piclim-2xnox,AerChemMIP,
land-hist-princeton,LS3MIP,land only
pisst-pxk,CFMIP,
amip-p4k-lwoff,CFMIP,
picontrol-spinup,CMIP,Deck
piclim-2xvoc,AerChemMIP,
faf-heat-na0pct,FAFMIP,
land-hist-altstartyear,LUMIP,land only
piclim-oc,AerChemMIP,
pisst,CFMIP,
piclim-2xfire,AerChemMIP,
piclim-2xss,AerChemMIP,
pdsst-piantsic,PAMIP,
amip-a4sst-4xco2,CFMIP,
esm-pi-co2pulse,CDRMIP,
histsst-pio3,AerChemMIP,
hist-spaer-all,RFMIP,
pisst-4xco2-rad,CFMIP,
piclim-nox,AerChemMIP,
esm-ssp534-over,CDRMIP,
giss-e2-1-g,,weirdness
ssp370sst-lowaer,AerChemMIP,
a4sst,CFMIP,
piclim-voc,AerChemMIP,
piclim-n2o,AerChemMIP,
esm-picontrol-spinup,CMIP,"Deck, emission-driven"
piclim-2xdms,AerChemMIP,
a4sstice,CFMIP,
dcppc-hindcast-noagung,DCPP,
pisst-4xco2,CFMIP,
piclim-lu,RFMIP,
a4sstice-4xco2,CFMIP,
pa-piarcsic,PAMIP,
ssp370sst-lowbc,AerChemMIP,
aqua-control,CFMIP,
esm-pi-cdr-pulse,CDRMIP,
g7cirrus,GeoMIP,
ssp585-withism,ISMIP6,
dcppc-hindcast-nopinatubo,DCPP,
dcppc-hindcast-noelchichon,DCPP,
land-cco2,LUMIP,
land-cclim,LUMIP,
aqua-p4k,CFMIP,
amip-lfmip-pobs,LS3MIP,
ssp370sst-lowch4,AerChemMIP,
aqua-4xco2,CFMIP,
omip2-spunup,OMIP,
historical-withism,ISMIP6,
hist-o3,,"DAMIP????, weirdness"
volc-long-eq,VolMIP,
ssp370sst-lowo3,AerChemMIP,
piclim-o3,AerChemMIP,
amip-tip,GMMIP,
dcppc-forecast-addelchichon,DCPP,
land-noshiftcultivate,LUMIP,land only
dcppc-forecast-addagung,DCPP,
1pctco2-4xext,ISMIP6,
aqua-p4k-lwoff,CFMIP,
aqua-control-lwoff,CFMIP,
picontrol-withism,ISMIP6,
modelsst-futarcsic,PAMIP,
amip-tip-nosh,GMMIP,
dcppc-forecast-addpinatubo,DCPP,
faf-antwater-stress,FAFMIP,
esm-1pctco2,"C4MIP, CDRMIP",
pa-futantsic,PAMIP,
ssp245-cov-aer,DAMIP,
pa-piantsic,PAMIP,
esm-ssp585-ocn-alk,CDRMIP,Emission-driven
land-crop-nofert,LUMIP,
piclim-nh3,AerChemMIP,
ssp245-cov-ghg,DAMIP,
pdsst-pdsicsit,PAMIP,
piclim-spaer-anthro,RFMIP,
lfmip-pdlc,LS3MIP,
pdsst-futarcsicsit,PAMIP,
volc-pinatubo-full,VolMIP,
amip-hld,GMMIP,
transient-deglaciation-prescribed-glac1d-methane,Palmod,
lfmip-rmlc,LS3MIP,
modelsst-pdsic,PAMIP,
land-nofire,LUMIP,land only
historical-ext,CMIP,historical
hist-ghg-cmip5,DAMIP,
hist-aer-cmip5,DAMIP,
hist-nat-cmip5,DAMIP,
piclim-spaer-aer,RFMIP,
land-nowoodharv,LUMIP,land only
historical-cmip5,CMIP,historical
1pctco2to4x-withism,ISMIP6,
land-crop-noirrig,LUMIP,
land-crop-noirrigfert,LUMIP,
picontrol-cmip5,CMIP,DECK
esm-ssp585ext,CDRMIP,Emission-driven
transient-deglaciation-prescribed-glac1d,Palmod,
land-crop-grass,LUMIP,
histsst-nolu,AerChemMIP,
rcp85-cmip5,ScenarioMIP,
transient-deglaciation-prescribed-ice6g,Palmod,
land-hist-altlu1,LUMIP,land only
rad-irf,RFMIP,
volc-pinatubo-strat,VolMIP,
volc-pinatubo-surf,VolMIP,
land-hist-altlu2,LUMIP,land only
rcp45-cmip5,ScenarioMIP,
rcp26-cmip5,ScenarioMIP,
esm-ssp585-ocn-alk-stop,CDRMIP,Emission-driven
piclim-spaer-histall,RFMIP,
piclim-spaer-histaer,RFMIP,
dcppc-atl-spg,DCPP,
piclim-2xco2,,"potentially RFMIP?, weirdness"
noresm2-lm,,weirdness
be,,weirdness
ssp585-future-methane,Palmod,
ssp126-future-methane,Palmod,
ssp370-future-methane,Palmod,
ssp119-future-methane,Palmod,
ave,,weirdness
,,
esm-yr2010CO2-cdr-pulse,CDRMIP,
esm-yr2010CO2-CO2pulse,CDRMIP,
esm-yr2010CO2-control,CDRMIP,
esm-yr2010CO2-noemit,CDRMIP,
dcppA-hindcast-niff,DCPP,
futureSST-4xCO2-solar,GeoMIP,
G6SST2-solar,GeoMIP,
G6SST2-sulfur,GeoMIP,
G7SST2-cirrus,GeoMIP,
highresSST-4xCO2,HighResMIP,
highresSST-LAI,HighResMIP,
highresSST-p4K,HighResMIP,
highresSST-smoothed,HighResMIP,
ism-1pctCO2to4x-self,ISMIP6,
ism-1pctCO2to4x-std,ISMIP6,
ism-amip-std,ISMIP6,
ism-asmb-std,ISMIP6,
ism-bsmb-std,ISMIP6,
ism-historical-self,ISMIP6,
ism-historical-std,ISMIP6,
ism-ssp585-self,ISMIP6,
ism-ssp585-std,ISMIP6,
esm-ssp585-ssp126Lu-ext,CDRMIP,
volc-cluster-mill,VolMIP,
G6SST1,GeoMIP,
G7SST1-cirrus,GeoMIP,
volc-pinatubo-slab,VolMIP,
amip-climSIC,PAMIP,
amip-climSST,PAMIP,
control-slab,VolMIP,
dcppA-historical-niff,DCPP,
esm-bell-1000PgC,"C4MIP, CDRMIP",
esm-bell-2000PgC,"C4MIP, CDRMIP",
esm-bell-750PgC,"C4MIP, CDRMIP",
esm-hist-ext,CMIP,"Historical, emission-driven"
esm-past1000,PMIP,
hist-all-aer2,DAMIP,
hist-all-nat2,DAMIP,
hist-spAer-aer,RFMIP,
ism-ctrl-std,ISMIP6,
ism-lig127k-std,ISMIP6,
ism-pdControl-std,ISMIP6,
ism-piControl-self,ISMIP6,
land-noPasture,LUMIP,land only
land-ssp126,LS3MIP,land only
land-ssp434,LS3MIP,land only
land-ssp585,LS3MIP,land only
lfmip-initLC,LS3MIP,
lfmip-pdLC-cruNcep,LS3MIP,
lfmip-pdLC-princeton,LS3MIP,
lfmip-pdLC-wfdei,LS3MIP,
lfmip-rmLC-cruNcep,LS3MIP,
lfmip-rmLC-princeton,LS3MIP,
lfmip-rmLC-wfdei,LS3MIP,
pa-futAntSIC-ext,PAMIP,
past1000-solaronly,PMIP,
past1000-volconly,PMIP,
piControl-spinup-cmip5,CMIP,
piSST-4xCO2-solar,GeoMIP,
rcp60-cmip5,ScenarioMIP,
volc-cluster-21C,VolMIP,
volc-long-hlN,VolMIP,
volc-long-hlS,VolMIP,
yr2010CO2,CDRMIP,
